ID;START_TIME;END_TIME;SECS;OOB_ERR;OOB_ERR_MEAN;TP;FP;TN;FN;TPR;FPR;TNR;PREC;FMEASURE;ACCURACY;AUC
0;0;0;0;0;0;2;0;0;0;0,0017;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;2;0;0;0;0,0017;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;3;0;0;0;0,0026;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;8;0;0;0;0,0070;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;9;0;0;0;0,0079;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;14;0;0;0;0,0122;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;21;1;0;0;0,0184;0,0001;0;0,9545;0;0;17,5000
0;0;0;0;0;0;25;2;0;0;0,0219;0,0002;0;0,9259;0;0;40,5000
0;0;0;0;0;0;27;2;0;0;0,0236;0,0002;0;0,9310;0;0;40,5000
0;0;0;0;0;0;36;2;0;0;0,0315;0,0002;0;0,9474;0;0;40,5000
0;0;0;0;0;0;41;2;0;0;0,0359;0,0002;0;0,9535;0;0;40,5000
0;0;0;0;0;0;48;2;0;0;0,0420;0,0002;0;0,9600;0;0;40,5000
0;0;0;0;0;0;59;2;0;0;0,0516;0,0002;0;0,9672;0;0;40,5000
0;0;0;0;0;0;67;2;0;0;0,0586;0,0002;0;0,9710;0;0;40,5000
0;0;0;0;0;0;80;2;0;0;0,0700;0,0002;0;0,9756;0;0;40,5000
0;0;0;0;0;0;90;2;0;0;0,0787;0,0002;0;0,9783;0;0;40,5000
0;0;0;0;0;0;101;5;0;0;0,0884;0,0006;0;0,9528;0;0;327,0000
0;0;0;0;0;0;109;7;0;0;0,0954;0,0008;0;0,9397;0;0;537,0000
0;0;0;0;0;0;117;11;0;0;0,1024;0,0012;0;0,9141;0;0;989,0000
0;0;0;0;0;0;133;11;0;0;0,1164;0,0012;0;0,9236;0;0;989,0000
0;0;0;0;0;0;146;16;0;0;0,1277;0,0018;0;0,9012;0;0;1686,5000
0;0;0;0;0;0;159;17;0;0;0,1391;0,0019;0;0,9034;0;0;1839,0000
0;0;0;0;0;0;179;26;0;0;0,1566;0,0029;0;0,8732;0;0;3360,0000
0;0;0;0;0;0;189;31;0;0;0,1654;0,0035;0;0,8591;0;0;4280,0000
0;0;0;0;0;0;204;37;0;0;0,1785;0,0042;0;0,8465;0;0;5459,0000
0;0;0;0;0;0;225;45;0;0;0,1969;0,0051;0;0,8333;0;0;7175,0000
0;0;0;0;0;0;240;53;0;0;0,2100;0,0060;0;0,8191;0;0;9035,0000
0;0;0;0;0;0;265;61;0;0;0,2318;0,0069;0;0,8129;0;0;11055,0000
0;0;0;0;0;0;278;75;0;0;0,2432;0,0085;0;0,7875;0;0;14856,0000
0;0;0;0;0;0;300;90;0;0;0,2625;0,0102;0;0,7692;0;0;19191,0000
0;0;0;0;0;0;326;106;0;0;0,2852;0,0120;0;0,7546;0;0;24199,0000
0;0;0;0;0;0;339;117;0;0;0,2966;0,0132;0;0,7434;0;0;27856,5000
0;0;0;0;0;0;359;128;0;0;0,3141;0,0145;0;0,7372;0;0;31695,5000
0;0;0;0;0;0;383;145;0;0;0,3351;0,0164;0;0,7254;0;0;38002,5000
0;0;0;0;0;0;397;163;0;0;0,3473;0,0184;0;0,7089;0;0;45022,5000
