ID;START_TIME;END_TIME;SECS;OOB_ERR;OOB_ERR_MEAN;TP;FP;TN;FN;TPR;FPR;TNR;PREC;FMEASURE;ACCURACY;AUC
0;0;0;0;0;0;2;0;0;0;0,0017;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;2;0;0;0;0,0017;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;8;0;0;0;0,0070;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;9;0;0;0;0,0079;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;22;1;0;0;0,0192;0,0001;0;0,9565;0;0;15,5000
0;0;0;0;0;0;25;2;0;0;0,0219;0,0002;0;0,9259;0;0;39,0000
0;0;0;0;0;0;34;2;0;0;0,0297;0,0002;0;0,9444;0;0;39,0000
0;0;0;0;0;0;46;2;0;0;0,0402;0,0002;0;0,9583;0;0;39,0000
0;0;0;0;0;0;64;2;0;0;0,0560;0,0002;0;0,9697;0;0;39,0000
0;0;0;0;0;0;74;2;0;0;0,0647;0,0002;0;0,9737;0;0;39,0000
0;0;0;0;0;0;83;2;0;0;0,0726;0,0002;0;0,9765;0;0;39,0000
0;0;0;0;0;0;101;3;0;0;0,0884;0,0003;0;0,9712;0;0;131,0000
0;0;0;0;0;0;109;3;0;0;0,0954;0,0003;0;0,9732;0;0;131,0000
0;0;0;0;0;0;121;4;0;0;0,1059;0,0005;0;0,9680;0;0;246,0000
0;0;0;0;0;0;130;7;0;0;0,1137;0,0008;0;0,9489;0;0;622,5000
0;0;0;0;0;0;142;9;0;0;0,1242;0,0010;0;0,9404;0;0;894,5000
0;0;0;0;0;0;202;370;0;0;0,1767;0,0418;0;0,3531;0;0;62986,5000
0;0;0;0;0;0;223;384;0;0;0,1951;0,0434;0;0,3674;0;0;65961,5000
0;0;0;0;0;0;235;390;0;0;0,2056;0,0441;0;0,3760;0;0;67335,5000
0;0;0;0;0;0;255;402;0;0;0,2231;0,0455;0;0,3881;0;0;70275,5000
0;0;0;0;0;0;277;408;0;0;0,2423;0,0461;0;0,4044;0;0;71871,5000
0;0;0;0;0;0;297;423;0;0;0,2598;0,0478;0;0,4125;0;0;76176,5000
0;0;0;0;0;0;319;439;0;0;0,2791;0,0496;0;0,4208;0;0;81104,5000
0;0;0;0;0;0;341;464;0;0;0,2983;0,0525;0;0,4236;0;0;89354,5000
0;0;0;0;0;0;370;480;0;0;0,3237;0,0543;0;0,4353;0;0;95042,5000
0;0;0;0;0;0;395;503;0;0;0,3456;0,0569;0;0,4399;0;0;103840,0000
0;0;0;0;0;0;429;542;0;0;0,3753;0,0613;0;0,4418;0;0;119908,0000
0;0;0;0;0;0;459;584;0;0;0,4016;0,0660;0;0,4401;0;0;138556,0000
0;0;0;0;0;0;488;633;0;0;0,4269;0,0716;0;0,4353;0;0;161757,5000
0;0;0;0;0;0;524;697;0;0;0,4584;0,0788;0;0,4292;0;0;194141,5000
0;0;0;0;0;0;557;741;0;0;0,4873;0,0838;0;0,4291;0;0;217923,5000
0;0;0;0;0;0;586;797;0;0;0,5127;0,0901;0;0,4237;0;0;249927,5000
0;0;0;0;0;0;620;855;0;0;0,5424;0,0967;0;0,4203;0;0;284901,5000
0;0;0;0;0;0;656;917;0;0;0,5739;0,1037;0;0,4170;0;0;324457,5000
0;0;0;0;0;0;691;967;0;0;0,6045;0,1094;0;0,4168;0;0;358132,5000
