ID;START_TIME;END_TIME;SECS;OOB_ERR;OOB_ERR_MEAN;TP;FP;TN;FN;TPR;FPR;TNR;PREC;FMEASURE;ACCURACY;AUC
0;0;0;0;0;0;1;0;0;0;0,0009;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;1;0;0;0;0,0009;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;3;0;0;0;0,0026;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;5;0;0;0;0,0044;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;6;0;0;0;0,0052;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;7;0;0;0;0,0061;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;10;0;0;0;0,0087;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;13;0;0;0;0,0114;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;20;0;0;0;0,0175;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;22;0;0;0;0,0192;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;25;0;0;0;0,0219;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;33;0;0;0;0,0289;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;38;0;0;0;0,0332;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;39;0;0;0;0,0341;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;44;0;0;0;0,0385;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;48;0;0;0;0,0420;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;53;1;0;0;0,0464;0,0001;0;0,9815;0;0;50,5000
0;0;0;0;0;0;60;1;0;0;0,0525;0,0001;0;0,9836;0;0;50,5000
0;0;0;0;0;0;66;1;0;0;0,0577;0,0001;0;0,9851;0;0;50,5000
0;0;0;0;0;0;71;1;0;0;0,0621;0,0001;0;0,9861;0;0;50,5000
0;0;0;0;0;0;80;1;0;0;0,0700;0,0001;0;0,9877;0;0;50,5000
0;0;0;0;0;0;88;3;0;0;0,0770;0,0003;0;0,9670;0;0;218,5000
0;0;0;0;0;0;94;6;0;0;0,0822;0,0007;0;0,9400;0;0;491,5000
0;0;0;0;0;0;102;7;0;0;0,0892;0,0008;0;0,9358;0;0;589,5000
0;0;0;0;0;0;110;9;0;0;0,0962;0,0010;0;0,9244;0;0;801,5000
0;0;0;0;0;0;121;11;0;0;0,1059;0,0012;0;0,9167;0;0;1032,5000
0;0;0;0;0;0;127;15;0;0;0,1111;0,0017;0;0,8944;0;0;1528,5000
0;0;0;0;0;0;135;16;0;0;0,1181;0,0018;0;0,8940;0;0;1659,5000
0;0;0;0;0;0;139;18;0;0;0,1216;0,0020;0;0,8854;0;0;1933,5000
0;0;0;0;0;0;154;20;0;0;0,1347;0,0023;0;0,8851;0;0;2226,5000
0;0;0;0;0;0;162;22;0;0;0,1417;0,0025;0;0,8804;0;0;2542,5000
0;0;0;0;0;0;169;26;0;0;0,1479;0,0029;0;0,8667;0;0;3204,5000
0;0;0;0;0;0;183;30;0;0;0,1601;0,0034;0;0,8592;0;0;3908,5000
0;0;0;0;0;0;196;35;0;0;0,1715;0,0040;0;0,8485;0;0;4856,0000
0;0;0;0;0;0;203;38;0;0;0,1776;0,0043;0;0,8423;0;0;5454,5000
