ID;START_TIME;END_TIME;SECS;OOB_ERR;OOB_ERR_MEAN;TP;FP;TN;FN;TPR;FPR;TNR;PREC;FMEASURE;ACCURACY;AUC
0;0;0;0;0;0;1;0;0;0;0,0009;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;1;0;0;0;0,0009;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;2;0;0;0;0,0017;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;3;0;0;0;0,0026;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;4;0;0;0;0,0035;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;9;0;0;0;0,0079;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;12;0;0;0;0,0105;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;14;0;0;0;0,0122;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;21;0;0;0;0,0184;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;23;0;0;0;0,0201;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;26;0;0;0;0,0227;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;28;0;0;0;0,0245;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;31;0;0;0;0,0271;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;37;0;0;0;0,0324;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;42;0;0;0;0,0367;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;46;0;0;0;0,0402;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;54;0;0;0;0,0472;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;56;0;0;0;0,0490;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;68;0;0;0;0,0595;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;72;0;0;0;0,0630;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;76;0;0;0;0,0665;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;82;0;0;0;0,0717;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;87;0;0;0;0,0761;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;91;0;0;0;0,0796;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;93;0;0;0;0,0814;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;97;0;0;0;0,0849;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;100;0;0;0;0,0875;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;107;0;0;0;0,0936;0,0000;0;1,0000;0;0;0,0000
0;0;0;0;0;0;113;1;0;0;0,0989;0,0001;0;0,9912;0;0;110,0000
0;0;0;0;0;0;117;1;0;0;0,1024;0,0001;0;0,9915;0;0;110,0000
0;0;0;0;0;0;117;2;0;0;0,1024;0,0002;0;0,9832;0;0;227,0000
0;0;0;0;0;0;121;2;0;0;0,1059;0,0002;0;0,9837;0;0;227,0000
0;0;0;0;0;0;125;2;0;0;0,1094;0,0002;0;0,9843;0;0;227,0000
0;0;0;0;0;0;130;3;0;0;0,1137;0,0003;0;0,9774;0;0;354,5000
0;0;0;0;0;0;139;4;0;0;0,1216;0,0005;0;0,9720;0;0;489,0000
